Date,Open,High,Low,Close,Adj Close,Volume
2022-12-20,0.570000,0.600000,0.570000,0.590000,0.590000,257700
2022-12-21,0.610000,0.630000,0.570000,0.590000,0.590000,146300
2022-12-22,0.580000,0.590000,0.540000,0.570000,0.570000,333100
2022-12-23,0.590000,0.590000,0.560000,0.560000,0.560000,72700
2022-12-27,0.560000,0.580000,0.520000,0.530000,0.530000,232300
2022-12-28,0.530000,0.560000,0.490000,0.510000,0.510000,407100
2022-12-29,0.510000,0.530000,0.490000,0.500000,0.500000,155500
2022-12-30,0.500000,0.500000,0.460000,0.490000,0.490000,288700
2023-01-03,0.480000,0.500000,0.460000,0.480000,0.480000,232800
2023-01-04,0.490000,0.550000,0.480000,0.510000,0.510000,240800
2023-01-05,0.480000,0.530000,0.480000,0.490000,0.490000,200400
2023-01-06,0.520000,0.540000,0.500000,0.520000,0.520000,225700
2023-01-09,0.520000,0.530000,0.520000,0.520000,0.520000,105000
2023-01-10,0.500000,0.530000,0.500000,0.520000,0.520000,105500
2023-01-11,0.520000,0.530000,0.480000,0.490000,0.490000,305600
2023-01-12,0.450000,0.500000,0.440000,0.480000,0.480000,325900
2023-01-13,0.480000,0.500000,0.480000,0.490000,0.490000,405300
2023-01-17,0.450000,0.530000,0.450000,0.510000,0.510000,224300
2023-01-18,0.510000,0.540000,0.500000,0.500000,0.500000,229800
2023-01-19,0.500000,0.510000,0.490000,0.490000,0.490000,79200
2023-01-20,0.470000,0.510000,0.470000,0.490000,0.490000,61500
2023-01-23,0.490000,0.550000,0.480000,0.520000,0.520000,302200
2023-01-24,0.540000,0.550000,0.510000,0.520000,0.520000,78300
2023-01-25,0.490000,0.540000,0.490000,0.520000,0.520000,75800
2023-01-26,0.520000,0.540000,0.490000,0.520000,0.520000,142000
2023-01-27,0.530000,0.540000,0.510000,0.540000,0.540000,113900
2023-01-30,0.540000,0.600000,0.510000,0.590000,0.590000,553300
2023-01-31,0.580000,0.600000,0.520000,0.550000,0.550000,454900
2023-02-01,0.550000,0.570000,0.510000,0.540000,0.540000,201800
2023-02-02,0.540000,0.560000,0.510000,0.520000,0.520000,289800
2023-02-03,0.510000,0.540000,0.510000,0.520000,0.520000,162400
2023-02-06,0.520000,0.540000,0.500000,0.510000,0.510000,218700
2023-02-07,0.530000,0.530000,0.500000,0.510000,0.510000,120300
2023-02-08,0.500000,0.520000,0.500000,0.520000,0.520000,43200
2023-02-09,0.540000,0.540000,0.500000,0.510000,0.510000,184800
2023-02-10,0.510000,0.540000,0.500000,0.510000,0.510000,90100
2023-02-13,0.520000,0.540000,0.500000,0.510000,0.510000,78900
2023-02-14,0.510000,0.520000,0.510000,0.520000,0.520000,39500
2023-02-15,0.510000,0.510000,0.500000,0.500000,0.500000,506300
2023-02-16,0.500000,0.540000,0.480000,0.500000,0.500000,278400
2023-02-17,0.520000,0.520000,0.470000,0.500000,0.500000,167700
2023-02-21,0.470000,0.510000,0.470000,0.480000,0.480000,61700
2023-02-22,0.480000,0.520000,0.440000,0.490000,0.490000,217200
2023-02-23,0.490000,0.500000,0.440000,0.480000,0.480000,213700
2023-02-24,0.450000,0.490000,0.440000,0.450000,0.450000,126500
2023-02-27,0.490000,0.490000,0.440000,0.440000,0.440000,200100
2023-02-28,0.440000,0.440000,0.410000,0.420000,0.420000,451000
2023-03-01,0.420000,0.460000,0.410000,0.430000,0.430000,162900
2023-03-02,0.410000,0.430000,0.410000,0.420000,0.420000,117700
2023-03-03,0.440000,0.440000,0.410000,0.430000,0.430000,57800
2023-03-06,0.440000,0.520000,0.420000,0.430000,0.430000,774100
2023-03-07,0.430000,0.480000,0.430000,0.430000,0.430000,737100
2023-03-08,0.450000,0.460000,0.430000,0.430000,0.430000,370500
2023-03-09,0.450000,0.450000,0.420000,0.430000,0.430000,605700
2023-03-10,0.430000,0.490000,0.430000,0.430000,0.430000,488800
2023-03-13,0.430000,0.440000,0.420000,0.430000,0.430000,191800
2023-03-14,0.420000,0.440000,0.370000,0.390000,0.390000,591100
2023-03-15,0.400000,0.400000,0.380000,0.390000,0.390000,196500
2023-03-16,0.390000,0.390000,0.350000,0.390000,0.390000,431000
2023-03-17,0.380000,0.420000,0.370000,0.380000,0.380000,142200
2023-03-20,0.390000,0.500000,0.390000,0.410000,0.410000,387100
2023-03-21,0.400000,0.430000,0.350000,0.420000,0.420000,281300
2023-03-22,0.420000,0.440000,0.400000,0.410000,0.410000,393600
2023-03-23,0.420000,0.420000,0.400000,0.400000,0.400000,89000
2023-03-24,0.410000,0.420000,0.380000,0.400000,0.400000,92900
2023-03-27,0.400000,0.410000,0.400000,0.400000,0.400000,114200
2023-03-28,0.400000,0.410000,0.370000,0.400000,0.400000,123500
2023-03-29,0.400000,0.400000,0.380000,0.400000,0.400000,71000
2023-03-30,0.400000,0.400000,0.380000,0.380000,0.380000,235800
2023-03-31,0.400000,0.400000,0.380000,0.400000,0.400000,244300
2023-04-03,0.400000,0.400000,0.390000,0.400000,0.400000,88200
2023-04-04,0.390000,0.410000,0.390000,0.390000,0.390000,365400
2023-04-05,0.400000,0.400000,0.390000,0.400000,0.400000,36500
2023-04-06,0.400000,0.400000,0.390000,0.390000,0.390000,151400
2023-04-10,0.400000,0.400000,0.390000,0.390000,0.390000,188000
2023-04-11,0.390000,0.390000,0.390000,0.390000,0.390000,231100
2023-04-12,0.390000,0.390000,0.380000,0.390000,0.390000,36900
2023-04-13,0.390000,0.400000,0.390000,0.400000,0.400000,162600
2023-04-14,0.390000,0.400000,0.390000,0.390000,0.390000,61500
2023-04-17,0.390000,0.390000,0.380000,0.390000,0.390000,100300
2023-04-18,0.380000,0.390000,0.340000,0.360000,0.360000,746600
2023-04-19,0.360000,0.380000,0.360000,0.370000,0.370000,132100
2023-04-20,0.370000,0.380000,0.350000,0.370000,0.370000,138300
2023-04-21,0.350000,0.370000,0.350000,0.360000,0.360000,41900
2023-04-24,0.360000,0.370000,0.360000,0.370000,0.370000,188200
2023-04-25,0.360000,0.370000,0.360000,0.360000,0.360000,14200
2023-04-26,0.360000,0.380000,0.360000,0.370000,0.370000,98500
2023-04-27,0.370000,0.370000,0.350000,0.370000,0.370000,175700
2023-04-28,0.360000,0.370000,0.360000,0.360000,0.360000,42500
2023-05-01,0.370000,0.370000,0.360000,0.360000,0.360000,179000
2023-05-02,0.370000,0.370000,0.350000,0.360000,0.360000,64300
2023-05-03,0.370000,0.370000,0.360000,0.370000,0.370000,73800
2023-05-04,0.370000,0.370000,0.360000,0.370000,0.370000,240800
2023-05-05,0.370000,0.370000,0.350000,0.360000,0.360000,105400
2023-05-08,0.360000,0.360000,0.300000,0.310000,0.310000,512500
2023-05-09,0.340000,0.350000,0.320000,0.330000,0.330000,467700
2023-05-10,0.310000,0.340000,0.250000,0.340000,0.340000,967400
2023-05-11,0.330000,0.340000,0.310000,0.340000,0.340000,58800
2023-05-12,0.340000,0.340000,0.320000,0.330000,0.330000,147700
2023-05-15,0.330000,0.340000,0.300000,0.300000,0.300000,150800
2023-05-16,0.270000,0.320000,0.260000,0.280000,0.280000,713500
2023-05-17,0.280000,0.300000,0.250000,0.300000,0.300000,399100
2023-05-18,0.300000,0.310000,0.280000,0.300000,0.300000,258600
2023-05-19,0.300000,0.310000,0.280000,0.300000,0.300000,228200
2023-05-22,0.300000,0.300000,0.280000,0.290000,0.290000,66600
2023-05-23,0.300000,0.300000,0.290000,0.300000,0.300000,72900
2023-05-24,0.280000,0.300000,0.280000,0.300000,0.300000,202400
2023-05-25,0.300000,0.300000,0.280000,0.280000,0.280000,11200
2023-05-26,0.300000,0.300000,0.280000,0.280000,0.280000,215300
